,Unnamed: 0,C_Neigh,N_Neigh,Neigh_Lat,Neigh_Long,Venue,Venue_Lat,Venue_Long,Venue_Category
105,105,02,El Barri Gotic,41.382940000000005,2.1785490000000003,El Cuiner de Damasc,41.38148993786303,2.1776773052948517,Falafel Restaurant
106,106,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Ziryab,41.38386685704232,2.180176158154727,Tapas Restaurant
107,107,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Pont del Carrer del Bisbe,41.38331035757379,2.176413015301108,Bridge
108,108,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Cafés El Magnífico,41.383588846954154,2.1809327872954074,Coffee Shop
109,109,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Dr. Stravinsky,41.384185229034024,2.1806511894219662,Cocktail Bar
110,110,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Zim,41.38301645067335,2.178297399375837,Wine Bar
111,111,02,El Barri Gotic,41.382940000000005,2.1785490000000003,La Colmena,41.383946727858294,2.1785232365435516,Dessert Shop
112,112,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Salterio,41.3825999710512,2.1760770756885703,Tea Room
113,113,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Sensi Bistro,41.3815727642449,2.178891938537367,Tapas Restaurant
114,114,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Mercer Hotel Barcelona,41.382737698299536,2.179090172657148,Hotel
115,115,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Milk Bar & Bistro,41.381425609153894,2.180209453520864,Bar
116,116,02,El Barri Gotic,41.382940000000005,2.1785490000000003,MAG by El Magnífico,41.3842066873169,2.18052224343402,Coffee Shop
117,117,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Temple d'August (Templo de Augusto),41.38341860614215,2.177279658151116,Historic Site
118,118,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Plaça de l'Àngel,41.38398598320659,2.1785137385720863,Plaza
119,119,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Lomography Gallery Store Barcelona,41.38407740465793,2.1807861689998216,Camera Store
120,120,02,El Barri Gotic,41.382940000000005,2.1785490000000003,CatBar,41.38447943356738,2.178787481383887,Vegetarian / Vegan Restaurant
121,121,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Can Cisa / Bar Brutal,41.384792725809696,2.1798786366622984,Wine Bar
122,122,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Pura Vida,41.384882291526935,2.1778668507700827,Cocktail Bar
123,123,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Pla Restaurant,41.38222678516861,2.178538146575483,Spanish Restaurant
124,124,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Collage Art & Cocktails Social Club,41.382622453059184,2.1814342938657414,Cocktail Bar
125,125,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Artevistas Art Gallery,41.381706733183094,2.176496784701534,Art Gallery
126,126,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Colmado Afrolatino,41.38280183505517,2.1802644026776687,Deli / Bodega
127,127,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Teresa's,41.383691961593904,2.1798739416695465,Vegetarian / Vegan Restaurant
128,128,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Cafè de l'Acadèmia,41.382999,2.178514,Spanish Restaurant
129,129,02,El Barri Gotic,41.382940000000005,2.1785490000000003,La Alcoba Azul,41.38283347569902,2.1755058371986005,Spanish Restaurant
130,130,02,El Barri Gotic,41.382940000000005,2.1785490000000003,The Wittmore,41.38096941463271,2.179623605011113,Hotel
131,131,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Museu d'Història de Barcelona (MUHBA) (Museo de Historia de Barcelona),41.38399931094222,2.1775926896227653,History Museum
132,132,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Bodega La Palma,41.38227992901575,2.178687811537624,Tapas Restaurant
133,133,02,El Barri Gotic,41.382940000000005,2.1785490000000003,L'Ànima del Vi,41.384247219102,2.179863625967954,Wine Bar
134,134,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Spritz,41.38451988961694,2.1774685535824343,Bar
135,135,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Vila Viniteca,41.38257420018804,2.1815779409406004,Wine Shop
136,136,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Grand Hotel Central,41.384969,2.177663,Hotel
137,137,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Sans & Sans,41.38358785848681,2.180865257507556,Tea Room
138,138,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Plaça dels Traginers,41.38201055246717,2.179825805522895,Plaza
139,139,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Rubi Bar,41.384545683211826,2.1805896481731875,Bar
140,140,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Rasoterra,41.38120640974225,2.1781098452947383,Vegetarian / Vegan Restaurant
141,141,02,El Barri Gotic,41.382940000000005,2.1785490000000003,La Vinateria del Call,41.38272315766275,2.1756809706436733,Spanish Restaurant
142,142,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Club de l'empanada,41.38325215295456,2.178081800671097,Brewery
143,143,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Sports Bar,41.38127097237509,2.1806013263552924,Italian Restaurant
144,144,02,El Barri Gotic,41.382940000000005,2.1785490000000003,SagardI BCN Gotic,41.383580274682174,2.180698197003258,Tapas Restaurant
145,145,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Mirilla,41.38119982059072,2.179733990252511,Restaurant
146,146,02,El Barri Gotic,41.382940000000005,2.1785490000000003,La Cua Curta,41.38459495148769,2.1801053778349724,Fondue Restaurant
147,147,02,El Barri Gotic,41.382940000000005,2.1785490000000003,La Cerería,41.381579834826816,2.1767005285168888,Vegetarian / Vegan Restaurant
148,148,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Satan's Coffee,41.38267592521296,2.1754377403230802,Coffee Shop
149,149,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Gourmet Tapas by Sensi,41.380641368023284,2.179505648747879,Tapas Restaurant
150,150,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Arcano,41.384965333880096,2.1785741853063474,Steakhouse
151,151,02,El Barri Gotic,41.382940000000005,2.1785490000000003,La Vinya del Senyor,41.383391260640906,2.181867255004128,Wine Bar
152,152,02,El Barri Gotic,41.382940000000005,2.1785490000000003,El Chigre 1769,41.38370071048882,2.18167744353313,Wine Bar
153,153,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Plaça de Sant Felip Neri,41.38337760569814,2.1751517690117925,Plaza
154,154,02,El Barri Gotic,41.382940000000005,2.1785490000000003,El Casal,41.38289168793761,2.1809184939297643,French Restaurant
155,155,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Veritas,41.384770959682285,2.1778113069443017,Organic Grocery
156,156,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Čaj Chai,41.38279149442191,2.175506837498577,Tea Room
157,157,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Harlem Jazz Club,41.3810975812248,2.178384049424156,Jazz Club
158,158,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Bollocks,41.381042607745755,2.1804672717917133,Bar
159,159,02,El Barri Gotic,41.382940000000005,2.1785490000000003,Matsuri Sushi Bar,41.3817456197883,2.1787230153188624,Japanese Restaurant
